1024,1965
1097,1824
1176,1648
1260,1579
1351,1533
1448,1454
1552,1392
1663,1288
1782,1235
1910,1183
2048,1086
2194,1088
2352,1024
2521,1204
2702,1260
2896,1179
3104,1058
3326,1065
3565,1034
3821,950
4096,799
4389,947
4705,870
5042,722
5404,781
5792,776
6208,746
6653,689
7131,660
7643,665
8192,581
8779,810
9410,755
10085,604
10809,570
11585,612
12416,615
13307,604
14263,550
15286,531
16384,531
17559,535
18820,668
20171,692
21618,572
23170,475
24833,434
26615,412
28526,404
30573,388
32768,431
35119,364
37640,438
40342,433
43237,589
46340,406
49667,372
53231,355
57052,369
61147,349
65536,379
70239,356
75281,398
80684,338
86475,380
92681,351
99334,341
106463,371
114104,365
122294,381
131072,367
140479,338
150562,355
161368,443
172950,409
185363,367
198668,356
212927,369
228209,365
244588,381
262144,382
280959,385
301124,394
322736,371
345900,440
370727,409
397336,391
425854,372
456418,377
489177,385
524288,400
561918,387
602249,438
645473,405
691801,696
741455,486
794672,396
851708,396
912837,359
978355,418
